OsID	species	experiment_acc	treatment	log2FC	adj_pvalue			
Os01g0859300	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain BLS256 vs mock	5.1	1.76E-16			
Os02g0120100	oryza sativa	E-GEOD-38023	recovery from cold stress; sensitive to chilling; 24 hour vs control; sensitive to chilling	5.1	4.56E-06			
Os02g0703600	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 24 hour vs control; sensitive to chilling	5	1.65E-05			
Os02g0703600	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 48 hour vs control; sensitive to chilling	5	7.65E-05			
Os01g0859300	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain CFBP7341 vs mock	4.9	1.96E-20			
Os01g0859300	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain BLS279 vs mock	4.9	9.75E-17			
Os03g0103300	oryza sativa	E-GEOD-35843	Meloidogyne graminicola vs mock in root tip at 7 day	4.9	3.13E-06			
Os02g0703600	oryza sativa	E-MTAB-4406	Burkholderia glumae vs control in susceptible to bacterial panicle blight disease at seedling stage	-4.8	4.90E-40			
Os02g0703600	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 8 hour vs control; sensitive to chilling	4.6	9.62E-05			
Os01g0859300	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain L8 vs mock	4.5	5.02E-10			
Os02g0724000	oryza sativa	E-MTAB-5170	elf18 vs none in EFR:XA21:GFP at 12 hour	4.4	1.35E-220			
Os03g0103300	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 96 hour; coleoptile	4.4	3.67E-191			
Os01g0883800	oryza sativa	E-MTAB-5941	cold temperature regimen; 10 hour vs none; 0 hour in Thaibonnet	-4.4	2.11E-08			
Os05g0158500	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain CFBP7331 vs mock	4.3	9.07E-166			
Os03g0762000	oryza sativa	E-GEOD-11175	drought and salt tolerance (dst) mutant vs wild type	4.3	5.51E-07			
Os02g0703600	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 2 hour vs control; sensitive to chilling	4.3	0.00058976			
Os01g0911700	oryza sativa	E-CURD-28	EXPA30::GFP vs wild type genotype	4.2	1.79E-11			
Os02g0703600	oryza sativa	E-GEOD-37940	12 hour;cold stress vs 0 hour;control in K354	4.2	7.46E-06			
Os02g0703600	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME2 vs IR24; none	-4.2	0.000516292			
Os03g0103300	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 72 hour; coleoptile	4.1	0			
Os02g0703600	oryza sativa	E-GEOD-37940	48 hour;cold stress vs 0 hour;control in K354	4.1	5.20E-06			
Os02g0703600	oryza sativa	E-GEOD-37940	24 hour;cold stress vs 0 hour;control in K354	4.1	3.05E-05			
Os03g0762000	oryza sativa	E-GEOD-60823	spx1 spx2 mutant vs wild type in none	4	1.82E-07			
Os02g0787300	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 48 hour vs control; sensitive to chilling	4	6.17E-05			
Os09g0441900	oryza sativa	E-CURD-28	EXPA30::GFP vs wild type genotype	4	0.02107688			
Os02g0703600	oryza sativa	E-MTAB-5941	cold temperature regimen; 10 hour vs none; 0 hour in Volano	3.9	1.02E-33			
Os01g0859300	oryza sativa	E-MEXP-2267	30 hour vs 1 hour in anaerobic	-3.9	7.03E-08			
Os01g0859300	oryza sativa	E-MEXP-1766	"'24 hour, germination' vs '0 hour, dry seed'"	-3.9	2.98E-07			
Os03g0122600	oryza sativa	E-GEOD-42028	MADS29 OX overexpression vs wild type	-3.9	2.21E-05			
Os02g0703600	oryza sativa	E-GEOD-37940	6 hour;cold stress vs 0 hour;control in K354	3.9	3.59E-05			
Os02g0703600	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME7 vs IR24; none	-3.9	0.003500005			
Os03g0103300	oryza sativa	E-MTAB-3834	submergence low oxygen vs normal air	3.8	1.29E-12			
Os01g0859300	oryza sativa	E-MEXP-2267	27 hour vs 1 hour in anaerobic	-3.8	4.87E-08			
Os05g0158500	oryza sativa	E-GEOD-41647	drought environment vs control in tolerant to drought environment at 6 hour	-3.8	4.45E-07			
Os02g0724000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae T7174 vs IR24; mock	3.8	1.70E-06			
Os02g0724000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae T7174 vs IR24; none	3.8	9.06E-06			
Os03g0762000	oryza sativa	E-GEOD-60823	spx1 spx2 mutant vs wild type in phosphate 200 micromolar	3.8	2.48E-05			
Os01g0307500	oryza sativa	E-MEXP-2311	wild type; internode vs wild type; internode pith parenchyma	3.8	8.02E-05			
Os01g0859300	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain RS105 vs mock	3.7	1.10E-12			
Os05g0158500	oryza sativa	E-GEOD-41647	drought environment vs control in tolerant to drought environment at 3 hour	-3.7	4.53E-07			
Os02g0787300	oryza sativa	E-MTAB-4306	cadmium sulfate; 50 micromolar vs none in root at 24 hour	3.6	4.48E-69			
Os01g0307500	oryza sativa	E-MTAB-4306	cadmium sulfate; 50 micromolar vs none in root at 1 hour	-3.6	1.49E-11			
Os01g0648000	oryza sativa	E-CURD-28	EXPA30::GFP vs wild type genotype	-3.6	1.67E-11			
Os01g0859300	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain CFBP7331 vs mock	3.6	1.33E-07			
Os02g0787300	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 24 hour vs control; sensitive to chilling	3.6	1.23E-05			
Os03g0103300	oryza sativa	E-CURD-48	sodium dihydrogenphosphate; 0.323 millimolar vs none in treated directly; root at 504 hour	-3.5	2.28E-35			
Os02g0120100	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain BLS256 vs mock	3.5	4.66E-21			
Os05g0207500	oryza sativa	E-MEXP-2267	27 hour vs 1 hour in anaerobic	3.5	9.39E-07			
Os02g0724000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99A vs IR24; mock	3.5	1.38E-05			
Os01g0859300	oryza sativa	E-MTAB-4406	Burkholderia glumae vs control in moderately resistant to bacterial panicle blight disease at seedling stage	3.5	9.00E-05			
Os02g0787300	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 2 hour vs control; sensitive to chilling	3.5	0.000360531			
Os04g0469800	oryza sativa	E-MTAB-4306	cadmium sulfate; 50 micromolar vs none in root at 1 hour	-3.5	0.000551966			
Os03g0700400	oryza sativa	E-MTAB-4406	Burkholderia glumae vs control in susceptible to bacterial panicle blight disease at seedling stage	3.4	1.71E-13			
Os01g0883800	oryza sativa	E-MTAB-5941	cold temperature regimen; 10 hour vs none; 0 hour in Volano	-3.4	5.93E-11			
Os01g0307500	oryza sativa	E-MTAB-4306	cadmium sulfate; 50 micromolar vs none in root at 24 hour	-3.4	3.55E-09			
Os02g0724000	oryza sativa	E-GEOD-37940	48 hour;cold stress vs 0 hour;control in C418	3.4	1.37E-07			
Os05g0207500	oryza sativa	E-MEXP-2267	30 hour vs 1 hour in anaerobic	3.4	2.31E-07			
Os01g0859300	oryza sativa	E-MEXP-2267	24 hour vs 1 hour in anaerobic	-3.4	3.69E-07			
Os02g0724000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99A vs IR24; none	3.4	4.69E-05			
Os02g0703600	oryza sativa	E-GEOD-37940	2 hour;cold stress vs 0 hour;control in K354	3.4	0.000154388			
Os04g0401000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae BLS303 vs IR24; mock	3.4	0.000170706			
Os02g0724000	oryza sativa	E-GEOD-29967	Taichung Native 1; sensitive variety to brown planthopper; 8 hour vs Taichung Native 1; sensitive variety to brown planthopper; 0 hour	3.4	0.000591741			
Os02g0724000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99A-2 vs IR24; mock	3.4	0.000806571			
Os02g0120100	oryza sativa	E-MTAB-6740	seed germination stage vs seed dormant stage in  30 degree celsius; 8 hour	3.3	3.62E-41			
Os01g0911700	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 72 hour; coleoptile	3.3	5.89E-30			
Os03g0103300	oryza sativa	E-MTAB-6740	192 hour vs 8 hour in seed dormant stage; 10 degree celsius	-3.3	4.69E-26			
Os02g0787300	oryza sativa	E-GEOD-37940	48 hour;cold stress vs 0 hour;control in C418	3.3	1.69E-07			
Os01g0848400	oryza sativa	E-GEOD-37940	48 hour;cold stress vs 0 hour;control in C418	3.3	2.91E-07			
Os05g0207500	oryza sativa	E-MEXP-2267	24 hour vs 1 hour in anaerobic	3.3	5.66E-07			
Os02g0787300	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 48 hour vs control; tolerant to chilling	3.3	8.24E-06			
Os08g0509600	oryza sativa	E-GEOD-34547	osbzip58-1 vs wild type	3.3	5.19E-05			
Os02g0787300	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 8 hour vs control; sensitive to chilling	3.3	8.78E-05			
Os02g0724000	oryza sativa	E-GEOD-54243	3 day; 30 degree celsius vs 0 day; 20 degree celsius in Hwi1	3.3	0.00042019			
Os08g0509600	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 8 hour vs control; sensitive to chilling	3.3	0.000583927			
Os02g0724000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99A-2 vs IR24; none	3.3	0.000816762			
Os02g0703600	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae BLS303 vs IR24; none	-3.3	0.001699785			
Os01g0307500	oryza sativa	E-MTAB-4050	N-acetylchitoheptaose vs mock in wild type	-3.2	3.14E-13			
Os02g0703600	oryza sativa	E-MTAB-5941	cold temperature regimen; 2 hour vs none; 0 hour in Thaibonnet	3.2	6.63E-09			
Os02g0724000	oryza sativa	E-GEOD-37940	48 hour;cold stress vs 0 hour;control in K354	3.2	1.47E-06			
Os02g0787300	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 8 hour vs control; tolerant to chilling	3.2	7.32E-05			
Os02g0787300	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 24 hour vs control; tolerant to chilling	3.2	0.000368139			
Os02g0703600	oryza sativa	E-GEOD-25206	chromium(6+); 100 micromolar vs water	-3.2	0.000720758			
Os01g0713600	oryza sativa	E-MTAB-6740	30 degree celsius vs 10 degree celsius in seed dormant stage; 192 hour	-3.1	6.16E-21			
Os03g0700400	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 72 hour; coleoptile	-3.1	5.61E-12			
Os02g0703600	oryza sativa	E-MTAB-4306	cadmium sulfate; 50 micromolar vs none in root at 1 hour	3.1	1.78E-10			
Os02g0120100	oryza sativa	E-MTAB-4306	cadmium sulfate; 50 micromolar vs none in shoot at 24 hour	3.1	8.08E-10			
Os03g0103300	oryza sativa	E-MTAB-6740	192 hour vs 8 hour in seed dormant stage; 30 degree celsius	-3.1	2.91E-07			
Os05g0207500	oryza sativa	E-MEXP-2267	12 hour vs 1 hour in anaerobic	3.1	2.22E-06			
Os01g0648000	oryza sativa	E-MTAB-6740	30 degree celsius vs 10 degree celsius in seed dormant stage; 192 hour	-3.1	5.46E-06			
Os02g0724000	oryza sativa	E-GEOD-29967	Rathu Heenati; resistant variety to brown planthopper; 8 hour vs Rathu Heenati; resistant variety to brown planthopper; 0 hour	3.1	0.000115271			
Os05g0158500	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 48 hour vs control; tolerant to chilling	-3.1	0.000332605			
Os01g0197100	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 72 hour; coleoptile	-3	1.11E-120			
Os02g0703600	oryza sativa	E-MTAB-4994	drought environment vs normal watering	3	1.46E-11			
Os01g0848400	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 96 hour; coleoptile	-3	9.04E-08			
Os02g0724000	oryza sativa	E-MEXP-1766	"'12 hour, germination' vs '0 hour, dry seed'"	-3	2.43E-07			
Os02g0703600	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain BLS279 vs mock	3	2.38E-06			
Os01g0848400	oryza sativa	E-GEOD-37940	48 hour;cold stress vs 0 hour;control in K354	3	4.61E-06			
Os02g0724000	oryza sativa	E-GEOD-54243	7 day; 30 degree celsius vs 0 day; 20 degree celsius in Hwi1	3	2.94E-05			
Os02g0787300	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 2 hour vs control; tolerant to chilling	3	4.18E-05			
Os01g0883800	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME2 vs IR24; none	3	0.000193773			
Os02g0724000	oryza sativa	E-GEOD-54243	3 day; 30 degree celsius vs 0 day; 20 degree celsius in hwi1	3	0.000444003			
Os01g0848400	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 48 hour vs control; sensitive to chilling	3	0.000548969			
Os02g0703600	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME1 vs IR24; none	-3	0.00142733			
Os05g0158500	oryza sativa	E-GEOD-29967	Taichung Native 1; sensitive variety to brown planthopper; 24 hour vs Taichung Native 1; sensitive variety to brown planthopper; 0 hour	-3	0.001683065			
Os02g0703600	oryza sativa	E-MEXP-2311	wild type; internode vs wild type; internode pith parenchyma	-3	0.002857313			
Os02g0787300	oryza sativa	E-MTAB-5941	cold temperature regimen; 2 hour vs none; 0 hour in Volano	2.9	4.88E-36			
Os02g0787300	oryza sativa	E-GEOD-37940	48 hour;cold stress vs 0 hour;control in K354	2.9	2.74E-06			
Os02g0703600	oryza sativa	E-GEOD-41647	drought environment vs control in tolerant to drought environment at 3 hour	2.9	3.12E-06			
Os04g0401000	oryza sativa	E-MTAB-4050	N-acetylchitoheptaose vs mock in wild type	-2.9	0.000161515			
Os02g0724000	oryza sativa	E-GEOD-54243	15 day; 30 degree celsius vs 0 day; 20 degree celsius in Hwi1	2.9	0.000177883			
Os03g0762000	oryza sativa	E-GEOD-33441	before flowering stage; cyn mutant vs before flowering stage; wild type	-2.9	0.00024905			
Os02g0120100	oryza sativa	E-GEOD-40242	cea62 mutant vs wild type	2.9	0.000391998			
Os02g0787300	oryza sativa	E-GEOD-58603	abscisic acid; wild type genotype; sodium chloride 140 millimolar; leaf vs none; wild type genotype; sodium chloride 140 millimolar; leaf	2.9	0.0084125			
Os02g0787300	oryza sativa	E-MTAB-5941	cold temperature regimen; 2 hour vs none; 0 hour in Thaibonnet	2.8	4.80E-44			
Os05g0207500	oryza sativa	E-MEXP-1766	"'24 hour, germination' vs '0 hour, dry seed'"	2.8	7.46E-07			
Os02g0703600	oryza sativa	E-GEOD-41647	drought environment vs control in tolerant to drought environment at 6 hour	2.8	1.65E-06			
Os01g0848400	oryza sativa	E-GEOD-37940	24 hour;cold stress vs 0 hour;control in C418	2.8	2.29E-06			
Os02g0724000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME1 vs IR24; mock	2.8	3.13E-06			
Os02g0787300	oryza sativa	E-GEOD-37940	24 hour;cold stress vs 0 hour;control in C418	2.8	4.45E-06			
Os01g0848400	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 24 hour vs control; sensitive to chilling	2.8	3.49E-05			
Os02g0724000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME2 vs IR24; mock	2.8	3.71E-05			
Os01g0883800	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME1 vs IR24; none	2.8	6.12E-05			
Os09g0441900	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 8 hour vs control; sensitive to chilling	2.8	0.003279681			
Os02g0703600	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae T7174 vs IR24; none	-2.8	0.004906066			
Os02g0703600	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99A-2 vs IR24; none	-2.8	0.01079838			
Os04g0615000	oryza sativa	E-CURD-28	EXPA30::GFP vs wild type genotype	2.7	9.59E-22			
Os03g0112700	oryza sativa	E-CURD-28	EXPA30::GFP vs wild type genotype	2.7	1.03E-20			
Os04g0401000	oryza sativa	E-MTAB-4406	moderately resistant to bacterial panicle blight disease vs susceptible to bacterial panicle blight disease in control at flowering stage	2.7	3.11E-15			
Os02g0120100	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain BLS279 vs mock	2.7	2.90E-12			
Os01g0859300	oryza sativa	E-MTAB-4050	N-acetylchitoheptaose vs mock in wild type	2.7	2.67E-08			
Os02g0724000	oryza sativa	E-MEXP-2267	24 hour vs 1 hour in anaerobic	-2.7	2.29E-07			
Os02g0724000	oryza sativa	E-MEXP-2267	12 hour vs 1 hour in anaerobic	-2.7	2.31E-07			
Os01g0648000	oryza sativa	E-MTAB-4406	Burkholderia glumae vs control in susceptible to bacterial panicle blight disease at seedling stage	2.7	4.88E-07			
Os01g0883800	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain CFBP7342 vs mock	-2.7	5.79E-07			
Os02g0787300	oryza sativa	E-GEOD-37940	12 hour;cold stress vs 0 hour;control in C418	2.7	2.81E-06			
Os02g0724000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME1 vs IR24; none	2.7	1.32E-05			
Os01g0848400	oryza sativa	E-GEOD-37940	24 hour;cold stress vs 0 hour;control in K354	2.7	3.48E-05			
Os02g0724000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME2 vs IR24; none	2.7	5.49E-05			
Os03g0700400	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 96 hour; coleoptile	-2.7	0.000148165			
Os02g0724000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO86 vs IR24; mock	2.7	0.000246562			
Os02g0703600	oryza sativa	E-GEOD-69010	phr3 mutant vs wild type	2.7	0.000491794			
Os01g0911700	oryza sativa	E-MTAB-3834	submergence low oxygen vs normal air	2.7	0.000749921			
Os09g0441900	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 24 hour vs control; sensitive to chilling	2.7	0.001127129			
Os02g0120100	oryza sativa	E-MTAB-3834	submergence low oxygen vs normal air	2.7	0.001161894			
Os02g0120100	oryza sativa	E-GEOD-29967	Rathu Heenati; resistant variety to brown planthopper; 24 hour vs Rathu Heenati; resistant variety to brown planthopper; 0 hour	2.7	0.002658169			
Os01g0859300	oryza sativa	E-MTAB-4406	Burkholderia glumae vs control in susceptible to bacterial panicle blight disease at seedling stage	2.7	0.008144594			
Os01g0848400	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 72 hour; coleoptile	-2.6	1.68E-11			
Os01g0911700	oryza sativa	E-MEXP-1766	"'24 hour, germination' vs '0 hour, dry seed'"	-2.6	1.61E-07			
Os02g0724000	oryza sativa	E-GEOD-37940	24 hour;cold stress vs 0 hour;control in C418	2.6	2.12E-06			
Os05g0158500	oryza sativa	E-CURD-28	EXPA30::GFP vs wild type genotype	2.6	8.52E-06			
Os05g0158500	oryza sativa	E-MEXP-1766	"'24 hour, germination' vs '0 hour, dry seed'"	2.6	2.02E-05			
Os01g0883800	oryza sativa	E-MTAB-5170	elf18 vs none in EFR:XA21:GFP at 12 hour	-2.6	3.05E-05			
Os01g0848400	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 48 hour vs control; tolerant to chilling	2.6	4.46E-05			
Os02g0787300	oryza sativa	E-GEOD-37940	6 hour;cold stress vs 0 hour;control in C418	2.6	6.04E-05			
Os02g0703600	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain B8-12 vs mock	2.6	0.000124503			
Os02g0703600	oryza sativa	E-MTAB-5941	cold temperature regimen; 10 hour vs none; 0 hour in Thaibonnet	2.6	0.000167274			
Os02g0724000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO86 vs IR24; none	2.6	0.000441885			
Os02g0703600	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain L8 vs mock	2.6	0.001381734			
Os05g0158500	oryza sativa	E-MTAB-6740	192 hour vs 8 hour in seed dormant stage; 30 degree celsius	-2.6	0.001593494			
Os01g0883800	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99A-2 vs IR24; none	2.6	0.001669409			
Os02g0120100	oryza sativa	E-GEOD-29967	Taichung Native 1; sensitive variety to brown planthopper; 24 hour vs Taichung Native 1; sensitive variety to brown planthopper; 0 hour	2.6	0.010339174			
Os03g0103300	oryza sativa	E-CURD-28	EXPA30::GFP vs wild type genotype	2.6	0.016937452			
Os02g0787300	oryza sativa	E-MTAB-5941	cold temperature regimen; 10 hour vs none; 0 hour in Thaibonnet	2.5	2.09E-39			
Os02g0724000	oryza sativa	E-MEXP-2267	27 hour vs 1 hour in anaerobic	-2.5	6.47E-07			
Os02g0120100	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain L8 vs mock	2.5	2.07E-06			
Os01g0911700	oryza sativa	E-GEOD-41647	drought environment vs control in tolerant to drought environment at 3 hour	2.5	3.16E-05			
Os01g0883800	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain CFBP7331 vs mock	-2.5	4.93E-05			
Os02g0724000	oryza sativa	E-GEOD-54243	7 day; 30 degree celsius vs 0 day; 20 degree celsius in hwi1	2.5	0.000346704			
Os01g0307500	oryza sativa	E-GEOD-54243	15 day; 30 degree celsius vs 0 day; 20 degree celsius in hwi1	2.5	0.000646457			
Os04g0401000	oryza sativa	E-GEOD-36272	IR24; Xanthomonas oryzae PXO99AME1 vs IR24; none	-2.5	0.000757531			
Os02g0703600	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain BLS256 vs mock	2.5	0.001679896			
Os02g0120100	oryza sativa	E-GEOD-38023	cold stress; tolerant to chilling; 2 hour vs control; tolerant to chilling	2.5	0.002957325			
Os01g0883800	oryza sativa	E-GEOD-42028	MADS29 OX overexpression vs wild type	2.5	0.004785008			
Os09g0441900	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 48 hour vs control; sensitive to chilling	2.5	0.010960755			
Os02g0703600	oryza sativa	E-GEOD-58603	none; wild type genotype; sodium chloride 140 millimolar; leaf vs none; wild type genotype; normal watering; leaf	-2.5	0.016529287			
Os01g0911700	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 48 hour; coleoptile	2.4	8.08E-36			
Os02g0120100	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain B8-12 vs mock	2.4	3.14E-20			
Os02g0724000	oryza sativa	E-MEXP-2267	30 hour vs 1 hour in anaerobic	-2.4	2.24E-07			
Os05g0158500	oryza sativa	E-GEOD-41647	drought environment vs control in susceptible to drought environment at 6 hour	-2.4	2.79E-07			
Os02g0703600	oryza sativa	E-MTAB-3230	PEG Stress vs normal in Mutant	-2.4	8.20E-07			
Os05g0207500	oryza sativa	E-MEXP-1766	"'12 hour, germination' vs '0 hour, dry seed'"	2.4	6.87E-06			
Os01g0883800	oryza sativa	E-GEOD-38023	recovery from cold stress; sensitive to chilling; 24 hour vs control; sensitive to chilling	-2.4	1.36E-05			
Os02g0703600	oryza sativa	E-MEXP-1766	"'3 hour, germination' vs '0 hour, dry seed'"	2.4	1.48E-05			
Os03g0700400	oryza sativa	E-MTAB-4306	cadmium sulfate; 50 micromolar vs none in shoot at 24 hour	2.4	1.80E-05			
Os02g0724000	oryza sativa	E-GEOD-37940	24 hour;cold stress vs 0 hour;control in K354	2.4	2.27E-05			
Os01g0848400	oryza sativa	E-MTAB-6740	30 degree celsius vs 10 degree celsius in seed dormant stage; 192 hour	-2.4	0.000114548			
Os01g0848400	oryza sativa	E-GEOD-38023	cold stress; sensitive to chilling; 8 hour vs control; sensitive to chilling	2.4	0.000173019			
Os01g0307500	oryza sativa	E-GEOD-25206	chromium(6+); 100 micromolar vs water	-2.4	0.000238404			
Os04g0615000	oryza sativa	E-GEOD-42028	MADS29 OX overexpression vs wild type	-2.4	0.000321955			
Os01g0307500	oryza sativa	E-MTAB-4306	cadmium sulfate; 50 micromolar vs none in shoot at 24 hour	-2.4	0.00480373			
Os02g0787300	oryza sativa	E-MTAB-5941	cold temperature regimen; 10 hour vs none; 0 hour in Volano	2.3	3.57E-45			
Os01g0648000	oryza sativa	E-GEOD-115371	anaerobic environment vs none in 72 hour; coleoptile	-2.3	1.37E-39			
Os03g0103300	oryza sativa	E-MTAB-5759	OsMPH1 overexpession vs wild type genotype	-2.3	2.50E-26			
Os02g0724000	oryza sativa	E-GEOD-67588	Xanthomonas oryzae pv. oryzicola strain CFBP7331 vs mock	2.3	2.57E-20			
